Province,Country,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,,,,,,,,,,,,,,,,
,Azerbaijan,232337,232491,232636,232829,232973,233129,233201,233424,233644,233770,233989,234267,234537,234662,235014,235333,235647,236012,236365,236768,236963,237260,237775,238383,238959,239692,240295,240671,154,145,193,144,156,72,223,220,126,219,278,270,125,352,319,314,365,353,403,195,297,515,608,576,733,603,376,,,,,,,,,,,,,,,,
,Bahamas,8383,8383,8403,8403,8403,8403,8471,8477,8496,8496,8519,8519,8519,8519,8519,8573,8573,8600,8600,8600,8600,8642,8642,8642,8658,8658,8658,8765,0,20,0,0,0,68,6,19,0,23,0,0,0,0,54,0,27,0,0,0,42,0,0,16,0,0,107,,,,,,,,,,,,,,,,
,Bahrain,114361,115057,115705,116482,117234,117809,118530,119205,119858,120495,121127,121778,122394,123039,123531,124269,124857,125514,126126,126602,127255,127800,128428,129081,129825,130404,131001,131683,696,648,777,752,575,721,675,653,637,632,651,616,645,492,738,588,657,612,476,653,545,628,653,744,579,597,682,,,,,,,,,,,,,,,,
,Bangladesh,541434,541877,542268,542674,543024,543351,543717,544116,544544,544954,545424,545831,546216,546801,547316,547930,548549,549184,549724,550330,551175,552087,553105,554156,555222,556236,557395,559168,443,391,406,350,327,366,399,428,410,470,407,385,585,515,614,619,635,540,606,845,912,1018,1051,1066,1014,1159,1773,,,,,,,,,,,,,,,,
,Barbados,2331,2457,2647,2677,2715,2772,2791,2852,2907,2949,2994,3038,3068,3115,3140,3163,3186,3217,3264,3285,3303,3333,3353,3372,3391,3404,3421,3442,126,190,30,38,57,19,61,55,42,45,44,30,47,25,23,23,31,47,21,18,30,20,19,19,13,17,21,,,,,,,,,,,,,,,,
,Belarus,270921,272273,273659,275322,276990,278312,279456,280428,281707,282898,284500,285959,287306,288267,289136,290447,291621,293103,294432,295511,296441,297514,298123,298960,300146,301328,302323,303270,1352,1386,1663,1668,1322,1144,972,1279,1191,1602,1459,1347,961,869,1311,1174,1482,1329,1079,930,1073,609,837,1186,1182,995,947,,,,,,,,,,,,,,,,
,Belgium,741205,743882,746302,749739,752379,754473,755594,757696,760809,763885,766654,769414,771511,772294,774344,777608,780251,783010,785809,787891,789008,791171,794605,798108,801723,805321,808283,809861,2677,2420,3437,2640,2094,1121,2102,3113,3076,2769,2760,2097,783,2050,3264,2643,2759,2799,2082,1117,2163,3434,3503,3615,3598,2962,1578,,,,,,,,,,,,,,,,
,Belize,12188,12195,12207,12227,12244,12244,12255,12264,12271,12280,12293,12293,12293,12313,12320,12328,12329,12335,12335,12335,12335,12345,12355,12359,12370,12370,12370,12383,7,12,20,17,0,11,9,7,9,13,0,0,20,7,8,1,6,0,0,0,10,10,4,11,0,0,13,,,,,,,,,,,,,,,,
,Benin,5039,5143,5143,5143,5143,5434,5434,5434,5434,5434,5434,5434,5434,5434,5434,6071,6071,6071,6071,6071,6338,6338,6501,6501,6501,6501,6501,6501,104,0,0,0,291,0,0,0,0,0,0,0,0,0,637,0,0,0,0,267,0,163,0,0,0,0,0,,,,,,,,,,,,,,,,
,Bhutan,866,866,866,866,866,866,866,867,867,867,867,867,867,867,867,867,867,867,868,868,868,868,868,868,868,868,868,868,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
