Province,Country,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,,,,,,,,,,,,,,,,
Jilin,China,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Liaoning,China,404,404,404,405,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Macau,China,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Ningxia,China,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Qinghai,China,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Shaanxi,China,547,547,547,547,547,547,547,549,549,549,551,551,551,552,553,553,553,553,555,557,557,558,558,559,559,560,561,561,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,2,2,0,1,0,1,0,1,1,0,,,,,,,,,,,,,,,,
Shandong,China,867,867,867,867,867,867,867,868,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Shanghai,China,1765,1769,1776,1778,1781,1783,1783,1786,1789,1793,1794,1794,1796,1797,1797,1802,1808,1809,1811,1816,1818,1820,1825,1828,1830,1834,1835,1840,4,7,2,3,2,0,3,3,4,1,0,2,1,0,5,6,1,2,5,2,2,5,3,2,4,1,5,,,,,,,,,,,,,,,,
Shanxi,China,239,239,239,239,239,239,240,240,240,240,240,240,240,240,240,240,240,240,240,241,241,241,241,241,241,241,241,241,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Sichuan,China,880,882,882,883,885,887,887,889,890,890,891,891,900,904,909,910,910,911,918,920,924,924,927,929,929,929,929,935,2,0,1,2,2,0,2,1,0,1,0,9,4,5,1,0,1,7,2,4,0,3,2,0,0,0,6,,,,,,,,,,,,,,,,
Tianjin,China,349,349,351,351,351,352,352,353,354,354,355,356,356,357,357,357,358,361,361,361,361,361,361,361,362,362,363,364,0,2,0,0,1,0,1,1,0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,
Tibet,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Xinjiang,China,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Yunnan,China,231,231,231,231,231,231,231,231,231,231,231,233,233,233,234,234,234,234,234,234,234,234,234,234,234,234,234,234,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Zhejiang,China,1320,1320,1320,1320,1320,1320,1320,1321,1321,1321,1321,1321,1321,1321,1321,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Colombia,2202598,2207701,2212525,2217001,2222018,2226262,2229663,2233589,2237542,2241225,2244792,2248135,2251690,2255260,2259599,2262646,2266211,2269582,2273245,2276656,2278861,2282372,2285960,2290539,2294617,2299082,2303144,2305884,5103,4824,4476,5017,4244,3401,3926,3953,3683,3567,3343,3555,3570,4339,3047,3565,3371,3663,3411,2205,3511,3588,4579,4078,4465,4062,2740,,,,,,,,,,,,,,,,
,Comoros,3393,3413,3458,3473,3490,3502,3518,3522,3539,3552,3558,3571,3571,3578,3578,3580,3580,3587,3596,3596,3606,3606,3611,3615,3618,3626,3635,3646,20,45,15,17,12,16,4,17,13,6,13,0,7,0,2,0,7,9,0,10,0,5,4,3,8,9,11,,,,,,,,,,,,,,,,
,Congo (Brazzaville),8419,8419,8419,8419,8419,8625,8625,8625,8820,8820,8820,8820,8820,8820,8820,8820,9179,9179,9179,9179,9179,9179,9329,9329,9329,9329,9329,9329,0,0,0,0,206,0,0,195,0,0,0,0,0,0,0,359,0,0,0,0,0,150,0,0,0,0,0,,,,,,,,,,,,,,,,
,Congo (Kinshasa),24423,24602,24794,24964,25080,25080,25144,25144,25144,25144,25691,25792,25913,25962,26050,26247,26340,26340,26469,26541,26627,26684,26738,26759,26846,26938,27014,27077,179,192,170,116,0,64,0,0,0,547,101,121,49,88,197,93,0,129,72,86,57,54,21,87,92,76,63,,,,,,,,,,,,,,,,
,Costa Rica,200454,200888,201241,201678,201678,201678,202674,203097,203496,203914,204341,204341,204341,205086,205514,205890,206293,206640,206640,206640,206640,207832,207832,207832,209093,209093,209093,209093,434,353,437,0,0,996,423,399,418,427,0,0,745,428,376,403,347,0,0,0,1192,0,0,1261,0,0,0,,,,,,,,,,,,,,,,
,Cote d'Ivoire,31365,31497,31612,31825,31914,32026,32039,32124,32295,32295,32478,32631,32754,32791,32929,33285,33976,34412,34935,35187,35331,35477,36028,36511,36824,37304,37653,37908,132,115,213,89,112,13,85,171,0,183,153,123,37,138,356,691,436,523,252,144,146,551,483,313,480,349,255,,,,,,,,,,,,,,,,
,Croatia,237999,238501,238866,239254,239685,239945,240017,240360,241048,241592,242097,242617,242973,243064,243458,244205,244872,245462,246120,246514,246608,247099,248061,248838,249661,250484,251045,251174,502,365,388,431,260,72,343,688,544,505,520,356,91,394,747,667,590,658,394,94,491,962,777,823,823,561,129,,,,,,,,,,,,,,,,
,Cuba,39941,40765,41688,42547,43484,44523,45361,46197,46896,47566,48441,49161,49779,50590,51587,52501,53308,54085,54835,55693,56566,57607,58379,59157,59919,60558,61472,62206,824,923,859,937,1039,838,836,699,670,875,720,618,811,997,914,807,777,750,858,873,1041,772,778,762,639,914,734,,,,,,,,,,,,,,,,
,Cyprus,32707,32828,32935,33046,33153,33260,33391,33567,33710,33909,34181,34424,34707,35009,35297,35620,36004,36277,36575,36878,37230,37650,38065,38496,38879,39277,39651,39869,121,107,111,107,107,131,176,143,199,272,243,283,302,288,323,384,273,298,303,352,420,415,431,383,398,374,218,,,,,,,,,,,,,,,,
,Czechia,1099654,1112322,1123252,1134957,1146321,1153159,1157180,1168491,1184352,1198168,1212780,1227595,1235480,1240051,1252242,1269058,1284288,1299002,1312164,1321331,1325291,1335815,1351195,1365724,1376998,1392108,1399078,1402420,12668,10930,11705,11364,6838,4021,11311,15861,13816,14612,14815,7885,4571,12191,16816,15230,14714,13162,9167,3960,10524,15380,14529,11274,15110,6970,3342,,,,,,,,,,,,,,,,
Faroe Islands,Denmark,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,660,660,660,660,660,660,661,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,
Greenland,Denmark,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Denmark,205183,205597,206065,206617,207081,207577,208027,208556,209079,209682,210212,210732,211195,211692,212224,212798,213318,213932,214326,214839,215264,215791,217798,218660,219305,219918,220459,221071,414,468,552,464,496,450,529,523,603,530,520,463,497,532,574,520,614,394,513,425,527,2007,862,645,613,541,612,,,,,,,,,,,,,,,,
,Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Djibouti,5981,6006,6008,6022,6022,6024,6026,6052,6052,6060,6062,6065,6066,6087,6089,6102,6110,6130,6134,6146,6157,6181,6227,6234,6236,6252,6268,6294,25,2,14,0,2,2,26,0,8,2,3,1,21,2,13,8,20,4,12,11,24,46,7,2,16,16,26,,,,,,,,,,,,,,,,
,Dominica,134,134,134,134,134,134,134,141,141,142,142,142,142,142,144,144,144,144,144,144,144,151,151,151,156,156,156,156,0,0,0,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,0,0,7,0,0,5,0,0,0,,,,,,,,,,,,,,,,
,Dominican Republic,231095,231737,232780,233598,234502,235462,235882,236210,236883,237629,238205,239009,239617,239998,240201,240773,241392,242087,242660,243247,243526,243778,244168,244923,245452,245616,246045,246299,642,1043,818,904,960,420,328,673,746,576,804,608,381,203,572,619,695,573,587,279,252,390,755,529,164,429,254,,,,,,,,,,,,,,,,
,Ecuador,268073,268219,269860,271276,273097,274673,274968,275780,278779,281169,282599,284347,286155,286367,286725,289472,289735,291070,292943,294503,294618,295114,296841,297957,299216,300666,302221,302498,146,1641,1416,1821,1576,295,812,2999,2390,1430,1748,1808,212,358,2747,263,1335,1873,1560,115,496,1727,1116,1259,1450,1555,277,,,,,,,,,,,,,,,,
,Egypt,175059,175677,176333,176943,177543,178151,178774,179407,180051,180640,181241,181829,182424,183010,183591,184168,184755,185334,185922,186503,187094,187716,188361,189000,189639,190280,190924,191555,618,656,610,600,608,623,633,644,589,601,588,595,586,581,577,587,579,588,581,591,622,645,639,639,641,644,631,,,,,,,,,,,,,,,,
,El Salvador,58023,58023,58546,58546,58546,58546,59235,59235,59235,59235,59866,59866,59866,59866,60491,60491,60800,60800,60800,60800,60800,61539,61677,61814,61947,62086,62086,62377,0,523,0,0,0,689,0,0,0,631,0,0,0,625,0,309,0,0,0,0,739,138,137,133,139,0,291,,,,,,,,,,,,,,,,
,Equatorial Guinea,5694,5694,5747,5747,5798,5798,5798,5852,5852,5852,5957,6005,6005,6095,6095,6210,6210,6210,6329,6329,6371,6371,6371,6456,6456,6562,6562,6562,0,53,0,51,0,0,54,0,0,105,48,0,90,0,115,0,0,119,0,42,0,0,85,0,106,0,0,,,,,,,,,,,,,,,,
,Eritrea,2566,2627,2675,2685,2685,2685,2703,2773,2789,2826,2847,2847,2847,2866,2884,2892,2913,2922,2944,2944,2944,2944,2988,3009,3038,3038,3038,3055,61,48,10,0,0,18,70,16,37,21,0,0,19,18,8,21,9,22,0,0,0,44,21,29,0,0,17,,,,,,,,,,,,,,,,
,Estonia,53444,54300,55295,56246,57033,57616,58445,59407,60475,61627,62830,64399,65600,66628,67739,69193,70610,72144,73684,75003,76183,77491,78973,80929,82286,83872,84807,86086,856,995,951,787,583,829,962,1068,1152,1203,1569,1201,1028,1111,1454,1417,1534,1540,1319,1180,1308,1482,1956,1357,1586,935,1279,,,,,,,,,,,,,,,,
,Eswatini,16606,16673,16709,16742,16764,16789,16807,16839,16897,16946,16972,17002,17014,17025,17086,17103,17129,17155,17173,17184,17188,17191,17203,17215,17225,17234,17237,17239,67,36,33,22,25,18,32,58,49,26,30,12,11,61,17,26,26,18,11,4,3,12,12,10,9,3,2,,,,,,,,,,,,,,,,
,Ethiopia,148490,149308,150179,151016,151857,152806,153541,154257,155234,156112,157047,158053,159072,159972,160813,161974,162954,164073,165029,166138,167133,168335,169878,171210,172571,174054,175467,176618,818,871,837,841,949,735,716,977,878,935,1006,1019,900,841,1161,980,1119,956,1109,995,1202,1543,1332,1361,1483,1413,1151,,,,,,,,,,,,,,,,
,Fiji,56,56,56,56,56,56,56,56,57,57,59,59,59,59,59,63,63,63,63,63,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Finland,51047,51595,52209,52653,53285,53742,54132,54532,55122,55687,56407,57052,57672,58064,58645,59442,60200,60904,61552,62063,62522,63110,63889,64609,65315,66006,66869,67334,548,614,444,632,457,390,400,590,565,720,645,620,392,581,797,758,704,648,511,459,588,779,720,706,691,863,465,,,,,,,,,,,,,,,,
French Guiana,France,16456,16456,16456,16456,16529,16529,16529,16529,16529,16529,16529,16627,16627,16627,16627,16627,16627,16627,16693,16693,16693,16693,16693,16693,16693,16764,16764,16764,0,0,0,73,0,0,0,0,0,0,98,0,0,0,0,0,0,66,0,0,0,0,0,0,71,0,0,,,,,,,,,,,,,,,,
French Polynesia,France,18299,18321,18335,18346,18346,18346,18354,18362,18370,18379,18387,18387,18387,18414,18429,18452,18459,18459,18459,18459,18482,18495,18509,18517,18527,18527,18527,18546,22,14,11,0,0,8,8,8,9,8,0,0,27,15,23,7,0,0,0,23,13,14,8,10,0,0,19,,,,,,,,,,,,,,,,
Guadeloupe,France,9351,9455,9455,9455,9455,9455,9455,9610,9610,9610,9610,9968,9968,9968,9968,9968,9968,9968,10458,10458,10458,10458,10458,10458,10458,10458,10725,10725,104,0,0,0,0,0,155,0,0,0,358,0,0,0,0,0,0,490,0,0,0,0,0,0,0,267,0,,,,,,,,,,,,,,,,
Martinique,France,6553,6593,6593,6593,6593,6593,6593,6646,6646,6646,6646,6746,6746,6746,6746,6746,6746,6746,6886,6886,6886,6886,6886,6886,6886,6886,7037,7037,40,0,0,0,0,0,53,0,0,0,100,0,0,0,0,0,0,140,0,0,0,0,0,0,0,151,0,,,,,,,,,,,,,,,,
Mayotte,France,13670,14037,14481,14492,15365,15792,15792,16349,16638,16638,16861,16861,16861,17600,17600,17600,17600,18140,18140,18140,18315,18413,18413,18604,18604,18642,18642,18845,367,444,11,873,427,0,557,289,0,223,0,0,739,0,0,0,540,0,0,175,98,0,191,0,38,0,203,,,,,,,,,,,,,,,,
New Caledonia,France,52,52,55,55,55,55,55,55,55,57,58,58,58,58,58,58,58,58,58,67,67,70,74,81,88,91,93,93,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,0,3,4,7,7,3,2,0,,,,,,,,,,,,,,,,
Reunion,France,10907,10907,11562,11562,11562,11562,11562,11562,11562,12416,12416,12416,12416,12416,12416,13125,13125,13125,13125,13125,13125,13125,13125,13801,13801,13801,13801,13801,0,655,0,0,0,0,0,0,854,0,0,0,0,0,709,0,0,0,0,0,0,0,676,0,0,0,0,,,,,,,,,,,,,,,,
Saint Barthelemy,France,455,512,512,512,512,512,512,573,573,573,573,573,573,573,573,638,638,638,638,638,638,638,638,638,712,712,712,712,57,0,0,0,0,0,61,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,74,0,0,0,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,France,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
St Martin,France,1408,1497,1497,1497,1497,1497,1497,1544,1544,1544,1544,1544,1544,1544,1544,1571,1571,1571,1571,1571,1571,1571,1571,1571,1602,1602,1602,1602,89,0,0,0,0,0,47,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,31,0,0,0,,,,,,,,,,,,,,,,
Wallis and Futuna,France,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,19,19,48,129,146,176,178,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,29,81,17,30,2,8,,,,,,,,,,,,,,,,
,France,3471268,3495775,3517177,3541282,3562707,3584326,3588972,3608271,3639501,3664050,3689034,3712474,3732426,3736390,3759247,3785326,3810605,3833572,3856182,3878007,3883334,3906363,3935990,3963156,3988194,4017844,4043769,4043769,24507,21402,24105,21425,21619,4646,19299,31230,24549,24984,23440,19952,3964,22857,26079,25279,22967,22610,21825,5327,23029,29627,27166,25038,29650,25925,0,,,,,,,,,,,,,,,,
,Gabon,12865,13107,13107,13553,13553,13553,13884,13884,14234,14234,14564,14564,14564,14849,14849,15254,15254,15254,15625,15625,16015,16015,16313,16313,16660,16660,16660,16945,242,0,446,0,0,331,0,350,0,330,0,0,285,0,405,0,0,371,0,390,0,298,0,347,0,0,285,,,,,,,,,,,,,,,,
,Gambia,4469,4469,4510,4543,4554,4554,4554,4612,4640,4671,4691,4691,4712,4712,4712,4735,4759,4759,4759,4759,4792,4792,4792,4792,4939,4985,4985,5019,0,41,33,11,0,0,58,28,31,20,0,21,0,0,23,24,0,0,0,33,0,0,0,147,46,0,34,,,,,,,,,,,,,,,,
,Georgia,266462,266948,267313,267701,268097,268355,268502,268995,269438,269800,270137,270510,270758,270918,271379,271739,271872,272262,272617,272851,272998,273137,273650,274045,274377,274721,274989,275148,486,365,388,396,258,147,493,443,362,337,373,248,160,461,360,133,390,355,234,147,139,513,395,332,344,268,159,,,,,,,,,,,,,,,,
,Germany,2352766,2362364,2372209,2381259,2388421,2394515,2399499,2405263,2416037,2427069,2436506,2444177,2450295,2455569,2462061,2472913,2484306,2493887,2502151,2508655,2513784,2520618,2541781,2546526,2559296,2569864,2578842,2585385,9598,9845,9050,7162,6094,4984,5764,10774,11032,9437,7671,6118,5274,6492,10852,11393,9581,8264,6504,5129,6834,21163,4745,12770,10568,8978,6543,,,,,,,,,,,,,,,,
,Ghana,77046,78271,78689,79165,79655,80253,80759,80759,81245,81673,82586,82586,84023,84023,84023,84349,85239,85239,86092,86465,86465,86737,86737,86737,86737,87480,87762,87985,1225,418,476,490,598,506,0,486,428,913,0,1437,0,0,326,890,0,853,373,0,272,0,0,0,743,282,223,,,,,,,,,,,,,,,,
,Greece,173905,174659,176059,177494,178918,179802,180672,182783,184686,186469,188201,189831,191100,192270,194582,197279,199496,201677,203978,205120,206281,209462,212091,214661,217018,219521,221147,222281,754,1400,1435,1424,884,870,2111,1903,1783,1732,1630,1269,1170,2312,2697,2217,2181,2301,1142,1161,3181,2629,2570,2357,2503,1626,1134,,,,,,,,,,,,,,,,
,Grenada,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,
,Guatemala,168103,168880,169610,170275,170931,171170,171289,172072,172764,173142,173814,174335,174542,174653,175411,176250,176876,177716,178337,178560,178770,179563,180393,181143,181974,182679,182881,183014,777,730,665,656,239,119,783,692,378,672,521,207,111,758,839,626,840,621,223,210,793,830,750,831,705,202,133,,,,,,,,,,,,,,,,
,Guinea,15020,15088,15154,15216,15395,15395,15427,15487,15680,15789,15894,15894,15992,16005,16081,16291,16420,16420,16540,16670,16912,16912,17208,17372,17592,17592,17742,17851,68,66,62,179,0,32,60,193,109,105,0,98,13,76,210,129,0,120,130,242,0,296,164,220,0,150,109,,,,,,,,,,,,,,,,
,Guinea-Bissau,2950,2999,3025,3064,3091,3115,3115,3156,3171,3215,3241,3247,3262,3262,3271,3282,3301,3303,3312,3312,3312,3319,3327,3380,3398,3436,3447,3447,49,26,39,27,24,0,41,15,44,26,6,15,0,9,11,19,2,9,0,0,7,8,53,18,38,11,0,,,,,,,,,,,,,,,,
,Guyana,8262,8313,8338,8357,8399,8420,8427,8452,8457,8485,8513,8550,8585,8595,8626,8648,8699,8729,8772,8807,8814,8847,8928,8993,9069,9121,9160,9187,51,25,19,42,21,7,25,5,28,28,37,35,10,31,22,51,30,43,35,7,33,81,65,76,52,39,27,,,,,,,,,,,,,,,,
,Haiti,12192,12206,12206,12206,12254,12274,12309,12309,12352,12352,12352,12430,12430,12448,12493,12531,12536,12536,12536,12536,12536,12536,12594,12594,12632,12632,12632,12632,14,0,0,48,20,35,0,43,0,0,78,0,18,45,38,5,0,0,0,0,0,58,0,38,0,0,0,,,,,,,,,,,,,,,,
,Holy See,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Honduras,161727,162584,163305,164077,164495,165095,165737,166547,167494,168243,168911,169754,170304,170985,171758,172100,172577,172577,173020,173729,174243,174508,175442,176427,177168,177832,178277,178925,857,721,772,418,600,642,810,947,749,668,843,550,681,773,342,477,0,443,709,514,265,934,985,741,664,445,648,,,,,,,,,,,,,,,,
,Hungary,389622,391170,394023,397116,400111,403023,405646,407274,410129,414514,419182,424130,428599,432925,435689,439900,446178,452547,459816,466017,468713,475207,480860,489172,498183,507627,516490,524196,1548,2853,3093,2995,2912,2623,1628,2855,4385,4668,4948,4469,4326,2764,4211,6278,6369,7269,6201,2696,6494,5653,8312,9011,9444,8863,7706,,,,,,,,,,,,,,,,
,Iceland,6039,6044,6044,6045,6045,6045,6049,6049,6049,6049,6049,6049,6049,6054,6055,6058,6058,6059,6059,6059,6064,6067,6069,6070,6072,6072,6072,6083,5,0,1,0,0,4,0,0,0,0,0,0,5,1,3,0,1,0,0,5,3,2,1,2,0,0,11,,,,,,,,,,,,,,,,
,India,10937320,10950201,10963394,10977387,10991651,11005850,11016434,11030176,11046914,11063491,11079979,11096731,11112241,11124527,11139516,11156923,11173761,11192045,11210799,11229398,11244786,11262707,11285561,11308846,11333728,11359048,11385339,11409831,12881,13193,13993,14264,14199,10584,13742,16738,16577,16488,16752,15510,12286,14989,17407,16838,18284,18754,18599,15388,17921,22854,23285,24882,25320,26291,24492,,,,,,,,,,,,,,,,
,Indonesia,1233959,1243646,1252685,1263299,1271353,1278653,1288833,1298608,1306141,1314634,1322866,1329074,1334634,1341314,1347026,1353834,1361098,1368069,1373836,1379662,1386556,1392945,1398578,1403722,1410134,1414741,1419455,1425044,9687,9039,10614,8054,7300,10180,9775,7533,8493,8232,6208,5560,6680,5712,6808,7264,6971,5767,5826,6894,6389,5633,5144,6412,4607,4714,5589,,,,,,,,,,,,,,,,
,Iran,1534034,1542076,1550142,1558159,1566081,1574012,1582275,1590605,1598875,1607081,1615184,1623159,1631169,1639679,1648174,1656699,1665103,1673470,1681682,1689692,1698005,1706559,1715162,1723470,1731558,1739360,1746953,1754933,8042,8066,8017,7922,7931,8263,8330,8270,8206,8103,7975,8010,8510,8495,8525,8404,8367,8212,8010,8313,8554,8603,8308,8088,7802,7593,7980,,,,,,,,,,,,,,,,
,Iraq,649982,653557,657453,661477,664750,667937,671801,675982,680288,684362,688698,692241,695489,699088,703778,708951,713994,719121,723189,726548,731016,735626,740472,745642,750264,754318,758184,763085,3575,3896,4024,3273,3187,3864,4181,4306,4074,4336,3543,3248,3599,4690,5173,5043,5127,4068,3359,4468,4610,4846,5170,4622,4054,3866,4901,,,,,,,,,,,,,,,,
,Ireland,211113,211751,212647,213400,214378,215057,215743,216300,216840,217478,218251,218980,219592,220273,220630,221189,221649,222169,222699,223219,223651,223957,224588,225179,225820,226358,226741,227316,638,896,753,978,679,686,557,540,638,773,729,612,681,357,559,460,520,530,520,432,306,631,591,641,538,383,575,,,,,,,,,,,,,,,,
,Israel,734575,738629,741934,744513,744513,750043,754998,759572,763756,767726,770780,773335,775807,779958,785218,789485,793407,796465,799727,801575,805116,808262,811492,814250,816198,817799,818977,820913,4054,3305,2579,0,5530,4955,4574,4184,3970,3054,2555,2472,4151,5260,4267,3922,3058,3262,1848,3541,3146,3230,2758,1948,1601,1178,1936,,,,,,,,,,,,,,,,
,Italy,2739591,2751657,2765412,2780882,2795796,2809246,2818863,2832162,2848564,2868435,2888923,2907825,2925265,2938371,2955434,2976274,2999119,3023129,3046762,3067486,3081368,3101093,3123368,3149017,3175807,3201838,3223142,3238394,12066,13755,15470,14914,13450,9617,13299,16402,19871,20488,18902,17440,13106,17063,20840,22845,24010,23633,20724,13882,19725,22275,25649,26790,26031,21304,15252,,,,,,,,,,,,,,,,
,Jamaica,19773,20016,20310,20581,20924,21382,21679,21826,22019,22267,22471,22817,23263,23599,23838,24103,24444,24776,25303,26026,26904,27465,28273,28968,29387,29912,30499,31305,243,294,271,343,458,297,147,193,248,204,346,446,336,239,265,341,332,527,723,878,561,808,695,419,525,587,806,,,,,,,,,,,,,,,,
,Japan,418435,419896,421421,422718,423952,424988,425725,426828,427732,428816,429873,431093,432090,432778,433700,434944,436093,437222,437634,439356,439977,441152,442411,443714,444977,446312,447287,448000,1461,1525,1297,1234,1036,737,1103,904,1084,1057,1220,997,688,922,1244,1149,1129,412,1722,621,1175,1259,1303,1263,1335,975,713,,,,,,,,,,,,,,,,
,Jordan,352219,355106,356744,357611,359811,363728,368278,372417,376441,380268,383912,386496,391090,397158,402282,407617,413350,417934,421415,427717,435130,442202,448851,457151,464856,469000,477053,486470,2887,1638,867,2200,3917,4550,4139,4024,3827,3644,2584,4594,6068,5124,5335,5733,4584,3481,6302,7413,7072,6649,8300,7705,4144,8053,9417,,,,,,,,,,,,,,,,
,Kazakhstan,252821,253751,254712,255584,256388,257100,257800,258609,259478,260384,261244,262093,262715,263396,264178,265028,265929,266803,267657,268327,268902,269599,270399,271363,272365,273469,274541,275502,930,961,872,804,712,700,809,869,906,860,849,622,681,782,850,901,874,854,670,575,697,800,964,1002,1104,1072,961,,,,,,,,,,,,,,,,
,Kenya,103188,103332,103615,103841,103993,104201,104306,104500,104780,105057,105467,105648,105973,106125,106470,106801,107329,107729,108362,108827,109164,109643,110356,111185,111935,112805,113236,113967,144,283,226,152,208,105,194,280,277,410,181,325,152,345,331,528,400,633,465,337,479,713,829,750,870,431,731,,,,,,,,,,,,,,,,
,"Korea, South",84946,85567,86128,86574,86992,87324,87681,88120,88516,88922,89321,89676,90031,90372,90816,91240,91638,92055,92471,92817,93263,93733,94198,94686,95176,95635,96017,96380,621,561,446,418,332,357,439,396,406,399,355,355,341,444,424,398,417,416,346,446,470,465,488,490,459,382,363,,,,,,,,,,,,,,,,
,Kosovo,64868,64868,65165,65450,65450,66480,66480,66740,67569,68006,68451,68451,68451,68451,70285,70853,70853,71444,72600,72600,73735,73735,74708,74708,76070,76070,76070,77787,0,297,285,0,1030,0,260,829,437,445,0,0,0,1834,568,0,591,1156,0,1135,0,973,0,1362,0,0,1717,,,,,,,,,,,,,,,,
